age,educ,black,married,nodegree,hisp,sample,treat,educ_cat4,re78t,re74t,re75t
24,9,1,0,1,0,1,1,1,4.849559307,9.154700279,2.28867507
27,11,1,0,1,0,1,1,1,0,2.206939936,2.666273832
27,11,1,0,1,0,1,1,1,0,0,0
27,11,1,0,1,0,1,1,1,0.549298406,0,0
28,9,1,0,1,0,1,1,1,10.69429016,0,0
28,8,1,0,1,0,1,1,1,0,0,0
26,11,1,0,1,0,1,1,1,17.23096085,0,0
31,9,0,0,1,1,1,1,1,26.81760025,0,0
27,9,1,0,1,0,1,1,1,0,0,0
26,10,1,0,1,0,1,1,1,9.265788078,0,0
26,10,1,0,1,0,1,1,1,0.672877312,25.92967987,6.788958073
27,8,1,0,1,0,1,1,1,0,0,0
25,10,1,0,1,0,1,1,1,0,0,0
24,11,1,0,1,0,1,1,1,1.991400003,0,0
24,11,1,0,1,0,1,1,1,0.995700181,0,0
23,11,1,0,1,0,1,1,1,0,0,0
24,10,1,0,1,0,1,1,1,0,0,0
24,10,1,0,1,0,1,1,1,0,0,0
18,11,1,0,1,0,1,1,1,0.929883897,0.858254254,0.214563593
18,11,1,0,1,0,1,1,1,0,0,0
17,10,1,0,1,0,1,1,1,0,0,0
17,10,1,0,1,0,1,1,1,0,0,0
17,10,1,0,1,0,1,1,1,16.21804047,0,0
22,11,1,0,1,0,1,1,1,6.456696987,0,0
20,11,1,0,1,0,1,1,1,6.943341732,16.31862068,1.484994054
25,8,1,0,1,0,1,1,1,0,0,0
18,10,1,0,1,0,1,1,1,11.16316986,0,0
17,9,1,0,1,0,1,1,1,1.953267932,0,0
19,10,1,0,1,0,1,1,1,8.124714851,0,0.385274112
19,10,1,0,1,0,1,1,1,3.228502989,0,0
20,10,1,0,1,0,1,1,1,5.615189075,5.005731106,2.777354956
23,8,0,0,1,1,1,1,1,3.881283998,0,0
18,9,1,0,1,0,1,1,1,5.010341644,0,3.287374973
17,8,1,0,1,0,1,1,1,8.061485291,0,0
22,9,1,0,1,0,1,1,1,4.056493759,0,0
19,9,1,0,1,0,1,1,1,17.68517876,0,0.798907876
19,9,1,0,1,0,1,1,1,8.173908234,0,0
18,9,1,0,1,0,1,1,1,4.482845306,0,0
21,9,1,0,1,0,1,1,1,0,0,0
21,9,1,0,1,0,1,1,1,0.743666649,6.416470051,5.749330997
18,8,1,0,1,0,1,1,1,0,0,0
17,7,1,0,1,0,1,1,1,3.023878813,0,0
19,8,1,0,1,0,1,1,1,9.970680237,0,2.657056808
25,5,1,0,1,0,1,1,1,12.18741035,0,0
25,5,1,0,1,0,1,1,1,6.181879997,0,0
18,6,1,0,1,0,1,1,1,0,0,0
27,10,0,0,1,1,1,1,1,11.14286995,0,0
20,9,0,0,1,1,1,1,1,1.358642936,12.26078033,5.875048637
17,9,0,0,1,1,1,1,1,6.210669994,0.445170403,0.07434345
22,9,0,0,1,1,1,1,1,3.595894098,0,0
55,16,0,1,0,0,3,0,4,47.87834167,48.98167038,46.54838562
55,16,0,1,0,0,3,0,4,47.87834167,48.98167038,46.54838562
49,17,0,1,0,0,3,0,4,35.46543884,30.95641518,31.86774254
53,16,0,1,0,0,3,0,4,67.23656464,68.57433319,39.38709641
50,17,0,1,0,0,3,0,4,39.89861679,42.90793991,44.75806808
54,16,0,1,0,0,3,0,4,26.4513073,24.68676186,26.85483742
54,16,0,1,0,0,3,0,4,26.4513073,24.68676186,26.85483742
54,16,0,1,0,0,3,0,4,26.4513073,24.68676186,26.85483742
55,16,0,1,0,0,3,0,4,22.16589928,17.63339996,17.90322685
55,12,0,1,0,0,3,0,2,29.5545311,26.45010185,23.99032211
55,12,0,1,0,0,3,0,2,25.86021423,35.26679993,32.22580719
55,12,0,1,0,0,3,0,2,10.34408569,0,6.266129017
53,13,0,1,0,0,3,0,3,4.728724957,1.567413449,3.938709736
53,13,0,1,0,0,3,0,3,4.728724957,1.567413449,3.938709736
53,12,0,1,0,0,3,0,2,39.89861679,41.14459991,42.96774292
48,16,0,1,0,0,3,0,4,1.152626753,1.240215898,1.466274142
48,16,0,1,0,0,3,0,4,1.152626753,1.240215898,1.466274142
55,17,0,1,0,0,3,0,4,88.66359711,88.16700745,98.46774292
55,16,0,1,0,0,3,0,4,35.11078644,48.98167038,71.61290741
54,12,0,1,0,0,3,0,2,0,0,0
54,12,0,1,0,0,3,0,2,0,0,0
55,14,0,1,0,0,3,0,3,0,0,0
55,14,0,1,0,0,3,0,3,2.068817139,17.63339996,19.6935482
55,12,0,1,0,0,3,0,2,26.59907722,23.51120186,26.85483742
55,12,0,1,0,0,3,0,2,29.36981583,29.1009903,26.40904808
55,12,0,1,0,0,3,0,2,22.16589928,23.51120186,20.58870888
55,12,0,1,0,0,3,0,2,16.25499153,16.65376663,17.5451622
55,12,0,1,0,0,3,0,2,17.73271942,23.51120186,22.91612816
55,12,0,1,0,0,3,0,2,31.77112198,28.21344185,33.20690155
55,12,0,1,0,0,3,0,2,26.59907722,23.51120186,26.85483742
55,12,0,1,0,0,3,0,2,29.36981583,29.1009903,26.40904808
46,12,0,1,0,0,3,0,2,35.46543884,25.86232185,23.27419281
53,17,0,1,0,0,3,0,4,0,0,0
53,17,0,1,0,0,3,0,4,27.92903328,31.34827042,28.64516258
53,16,0,1,0,0,3,0,4,2.955453157,1.665376782,0
53,16,0,1,0,0,3,0,4,32.50998306,31.34827042,32.22580719
52,12,0,1,0,0,3,0,2,39.01198196,33.89531708,47.62258148
50,14,0,1,0,0,3,0,3,0,0,0
54,16,0,1,0,0,3,0,4,0,0,0
54,15,0,1,0,0,3,0,3,39.30456924,39.18533707,37.47145462
54,15,0,1,0,0,3,0,3,88.66359711,48.98167038,35.8064537
54,15,0,1,0,0,3,0,3,59.10906219,23.51120186,21.48387146
54,15,0,1,0,0,3,0,3,88.66359711,48.98167038,35.8064537
54,13,0,1,0,0,3,0,3,0,0,0
54,13,0,1,0,0,3,0,3,0,0,0
54,13,0,1,0,0,3,0,3,0,0,0
54,12,0,1,0,0,3,0,2,2.0496068,23.51120186,26.85483742
54,12,0,1,0,0,3,0,2,0,0,0
54,12,0,1,0,0,3,0,2,19.34344101,12.73523426,17.89427376
54,12,0,1,0,0,3,0,2,31.03225708,28.88938904,35.8064537
54,12,0,1,0,0,3,0,2,0,0,0
54,12,0,1,0,0,3,0,2,23.64362526,18.0252533,18.79838753
52,17,0,1,0,0,3,0,4,59.10906219,63.67617035,60.87096786
52,17,0,1,0,0,3,0,4,70.93087769,46.04277039,59.0806427
52,17,0,1,0,0,3,0,4,70.93087769,46.04277039,59.0806427
52,16,0,1,0,0,3,0,4,28.81566811,33.30753326,30.79354858
49,14,0,1,0,0,3,0,3,24.53026199,32.32790375,14.32258129
53,17,0,1,0,0,3,0,4,15.66390133,15.47820759,16.39935493
53,16,0,1,0,0,3,0,4,19.93009758,20.34306717,20.11248398
53,16,0,1,0,0,3,0,4,22.16589928,34.2871666,28.64516258
53,16,0,1,0,0,3,0,4,51.72042847,39.18533707,35.8064537
52,12,0,1,0,0,3,0,2,48.7649765,37.2260704,35.83151627
49,12,0,1,0,0,3,0,2,13.29953861,0,0
53,15,0,1,0,0,3,0,3,28.07680511,0,24.16935539
53,15,0,1,0,0,3,0,3,38.42089081,33.30753326,37.59677505
50,16,0,1,0,0,3,0,4,33.98770905,97.96334076,34.01612854
53,13,0,1,0,0,3,0,3,35.46543884,35.65865707,35.8064537
50,14,0,1,0,0,3,0,3,27.31429863,32.60219955,27.88964462
47,12,0,1,0,0,3,0,2,5.319815636,5.868003845,9.513774872
53,12,0,1,0,0,3,0,2,50.24270248,47.64936829,47.89471054
53,12,0,1,0,0,3,0,2,29.5545311,29.38900185,28.64516258
53,12,0,1,0,0,3,0,2,26.00798798,26.45010185,25.06451607
53,12,0,1,0,0,3,0,2,33.54439545,33.30753326,32.22580719
53,12,0,1,0,0,3,0,2,26.59907722,29.38900185,26.85483742
53,12,0,1,0,0,3,0,2,19.2104454,17.63339996,16.11290359
53,12,0,1,0,0,3,0,2,18.91489983,32.86865997,31.50967789
53,12,0,1,0,0,3,0,2,0,28.21344185,26.85483742
50,12,0,1,0,0,3,0,2,0,0,0
50,12,0,1,0,0,3,0,2,26.87689018,22.30625153,27.54411316
50,12,0,1,0,0,3,0,2,26.87689018,22.30625153,27.54411316
50,12,0,1,0,0,3,0,2,26.87689018,22.30625153,27.54411316
50,12,0,1,0,0,3,0,2,27.33794212,27.03788376,26.85483742
54,3,0,1,1,0,3,0,1,30.54904175,24.53001976,19.51451492
52,17,0,1,0,0,3,0,4,32.50998306,31.34827042,31.29304886
48,12,0,1,0,0,3,0,2,36.94316483,42.12423325,42.96774292
48,12,0,1,0,0,3,0,2,36.94316483,42.12423325,42.96774292
52,16,0,1,0,0,3,0,4,63.83778763,53.87983704,53.70967484
49,16,0,1,0,0,3,0,4,12.56067562,12.50404072,12.35322571
51,12,0,1,0,0,3,0,2,17.73271942,16.84969521,19.6935482
52,15,0,1,0,0,3,0,3,38.42089081,39.18533707,35.8064537
52,15,0,1,0,0,3,0,3,17.43717384,19.59266853,18.79838753
52,15,0,1,0,0,3,0,3,0,0,0
49,14,0,1,0,0,3,0,3,29.5545311,33.30753326,30.43548393
52,12,0,1,0,0,3,0,2,22.16589928,0,21.48387146
52,12,0,1,0,0,3,0,2,28.66789627,33.30753326,34.17188644
52,12,0,1,0,0,3,0,2,20.68817139,20.57229996,18.97742081
52,12,0,1,0,0,3,0,2,36.94316483,41.14459991,37.59677505
52,12,0,1,0,0,3,0,2,32.50998306,27.22009468,24.70645142
50,14,0,1,0,0,3,0,3,51.72042847,70.53359985,29.54032135
48,17,0,1,0,0,3,0,4,32.95182419,31.34827042,29.54032135
47,12,0,1,0,0,3,0,2,25.86021423,30.36863518,23.27419281
53,8,1,1,1,0,3,0,1,12.92124081,15.08635426,15.64920998
48,16,0,1,0,0,3,0,4,0,0,0
48,16,0,1,0,0,3,0,4,0,0,0
50,12,0,1,0,0,3,0,2,13.15176678,15.28228092,14.32258129
50,12,0,1,0,0,3,0,2,13.15176678,15.28228092,14.32258129
51,16,0,1,0,0,3,0,4,44.33179855,31.34827042,35.44838715
51,16,0,1,0,0,3,0,4,28.07680511,27.42973518,28.64516258
51,16,0,1,0,0,3,0,4,28.07680511,27.42973518,28.64516258
51,16,0,1,0,0,3,0,4,48.7649765,41.14459991,44.75806808
45,12,0,1,0,0,3,0,2,38.42089081,35.26679993,38.36661148
44,17,0,1,0,0,3,0,4,39.89861679,48.98167038,42.96774292
48,12,0,1,0,0,3,0,2,12.93010712,0,0
51,12,0,1,0,0,3,0,2,0,35.26679993,44.75806808
51,12,0,1,0,0,3,0,2,0,0,0
51,12,0,1,0,0,3,0,2,19.4114151,23.70712852,22.37903404
51,12,0,1,0,0,3,0,2,48.7649765,44.08350372,41.17741776
51,12,0,1,0,0,3,0,2,17.73271942,14.53384113,19.24596596
51,12,0,1,0,0,3,0,2,24.38248825,21.94378853,19.15645027
51,12,0,1,0,0,3,0,2,35.46543884,37.2260704,38.93951416
51,12,0,1,0,0,3,0,2,24.82580757,25.86232185,20.58870888
51,12,0,1,0,0,3,0,2,7.388632774,43.10387039,41.35645294
51,12,0,1,0,0,3,0,2,29.5545311,25.47046852,32.22580719
46,12,0,1,0,0,3,0,2,27.78125954,29.38900185,27.0338707
46,12,0,1,0,0,3,0,2,27.78125954,29.38900185,27.0338707
46,12,0,1,0,0,3,0,2,22.90476227,22.72749329,21.84193611
55,16,1,1,0,0,3,0,4,23.53131866,13.71486759,11.99516106
47,17,0,1,0,0,3,0,4,0,68.57433319,38.6709671
47,17,0,1,0,0,3,0,4,35.46543884,36.24643707,34.01612854
44,13,0,1,0,0,3,0,3,22.16589928,21.67928696,21.91892052
47,16,0,1,0,0,3,0,4,78.31951141,60.73727036,60.87096786
47,16,0,1,0,0,3,0,4,44.33179855,42.12423325,41.17741776
47,16,0,1,0,0,3,0,4,78.31951141,60.73727036,60.87096786
44,12,0,1,0,0,3,0,2,20.96302986,20.89558029,12.17419338
44,12,0,1,0,0,3,0,2,17.2894001,16.45784187,16.11290359
49,13,0,1,0,0,3,0,3,17.73271942,18.22118187,17.90322685
50,17,0,1,0,0,3,0,4,70.93087769,42.12423325,0
50,17,0,1,0,0,3,0,4,13.29953861,36.05050659,37.59677505
49,12,0,1,0,0,3,0,2,26.59907722,25.86232185,28.64516258
49,12,0,1,0,0,3,0,2,26.59907722,27.42973518,26.85483742
49,12,0,1,0,0,3,0,2,33.98770905,39.18533707,35.8064537
49,12,0,1,0,0,3,0,2,20.24485397,25.47046852,17.95335579
49,12,0,1,0,0,3,0,2,0,72.49287415,71.43386841
50,16,0,1,0,0,3,0,4,33.98770905,38.20570374,34.91128922
47,14,0,1,0,0,3,0,3,0,0,0
34,12,0,1,0,0,3,0,2,11.82181263,11.75560093,0
39,14,0,1,0,0,3,0,3,18.61935616,21.74786186,21.84193611
55,11,0,1,1,0,3,0,1,28.07680511,31.04850197,31.05314445
48,17,0,1,0,0,3,0,4,41.37634277,42.29469299,41.17741776
47,12,0,1,0,0,3,0,2,18.91489983,32.91568375,27.75
47,12,0,1,0,0,3,0,2,0,45.06313705,62.66128922
47,12,0,1,0,0,3,0,2,18.91489983,32.91568375,27.75
47,12,0,1,0,0,3,0,2,15.07281113,30.07474518,33.31253052
47,12,0,1,0,0,3,0,2,15.07281113,30.07474518,33.31253052
50,13,0,1,0,0,3,0,3,28.07680511,29.38900185,29.54032135
48,16,0,1,0,0,3,0,4,39.89861679,23.51120186,23.27419281
48,16,0,1,0,0,3,0,4,73.88632965,54.85947037,53.70967484
48,16,0,1,0,0,3,0,4,39.89861679,23.51120186,23.27419281
48,16,0,1,0,0,3,0,4,73.88632965,54.85947037,53.70967484
41,13,0,1,0,0,3,0,3,0,0,0
50,12,0,1,0,0,3,0,2,36.94316483,37.2260704,39.02902985
50,12,0,1,0,0,3,0,2,26.59907722,26.45010185,30.07741928
50,12,0,1,0,0,3,0,2,8.866359711,47.02240372,44.75806808
45,12,0,1,0,0,3,0,2,19.9493084,17.63339996,18.79838753
45,12,0,1,0,0,3,0,2,27.37784004,35.75662231,31.50967789
46,17,0,1,0,0,3,0,4,31.29824829,39.18533707,31.33064461
52,10,0,1,1,0,3,0,1,23.64362526,13.71486759,12.17419338
48,14,0,1,0,0,3,0,3,57.63133621,56.81873703,57.29032516
46,16,0,1,0,0,3,0,4,42.85406876,45.06313705,46.01128769
46,16,0,1,0,0,3,0,4,17.73271942,26.29336166,65.1605835
46,16,0,1,0,0,3,0,4,36.94316483,39.18533707,35.8064537
46,16,0,1,0,0,3,0,4,17.73271942,26.29336166,65.1605835
52,9,0,1,1,0,3,0,1,24.04556656,19.59266853,16.11290359
54,16,1,1,0,0,3,0,4,11.82181263,15.67413521,14.32258129
44,16,0,1,0,0,3,0,4,33.98770905,31.34827042,30.43548393
49,17,0,1,0,0,3,0,4,29.5545311,25.47046852,26.85483742
49,17,0,1,0,0,3,0,4,44.33179855,47.02240372,48.33871078
49,17,0,1,0,0,3,0,4,29.5545311,25.47046852,26.85483742
49,17,0,1,0,0,3,0,4,44.33179855,47.02240372,48.33871078
49,17,0,1,0,0,3,0,4,42.85406876,47.02240372,46.54838562
52,8,0,1,1,0,3,0,1,17.2894001,19.59266853,17.90322685
42,16,0,1,0,0,3,0,4,32.21443939,31.34827042,32.22580719
48,12,0,1,0,0,3,0,2,25.3991642,22.32192612,23.88111305
48,12,0,1,0,0,3,0,2,23.64362526,27.03788376,25.06451607
48,12,0,1,0,0,3,0,2,0,0,0
48,12,0,1,0,0,3,0,2,0,21.5519352,20.23064423
49,16,0,1,0,0,3,0,4,17.73271942,15.67413521,12.89032269
49,16,0,1,0,0,3,0,4,73.88632965,94.04480743,98.46774292
46,13,0,1,0,0,3,0,3,14.77726555,17.24154854,15.75483894
44,14,0,1,0,0,3,0,3,26.95225525,32.71975708,29.54032135
44,14,0,1,0,0,3,0,3,35.46543884,39.18533707,35.8064537
46,12,0,1,0,0,3,0,2,26.78083801,25.07861519,24.16935539
46,12,0,1,0,0,3,0,2,17.43717384,31.74012375,25.78064537
47,17,0,1,0,0,3,0,4,35.73290634,37.34362411,28.90654945
47,17,0,1,0,0,3,0,4,35.73290634,37.34362411,28.90654945
44,12,0,1,0,0,3,0,2,0,0,0
44,12,0,1,0,0,3,0,2,41.37634277,50.94093704,44.75806808
42,12,0,1,0,0,3,0,2,70.93087769,44.47535706,47.23228836
54,3,1,1,1,0,3,0,1,11.82181263,12.22582531,9.606870651
41,17,0,1,0,0,3,0,4,66.49769592,44.08350372,43.86290359
49,12,0,1,0,0,3,0,2,32.58091736,33.30753326,28.64516258
49,12,0,1,0,0,3,0,2,23.64362526,23.51120186,35.8064537
49,12,0,1,0,0,3,0,2,6.537462234,10.23129082,11.08209705
49,12,0,1,0,0,3,0,2,47.28725052,35.26679993,32.22580719
45,16,0,1,0,0,3,0,4,59.10906219,43.10387039,48.33871078
47,14,0,1,0,0,3,0,3,25.15090561,31.34827042,34.01612854
47,14,0,1,0,0,3,0,3,32.50998306,58.77800369,26.85483742
55,11,0,1,1,0,3,0,1,32.17749786,36.63829041,37.41774368
47,13,0,1,0,0,3,0,3,24.38248825,22.72749329,22.55806351
55,10,0,1,1,0,3,0,1,28.81566811,28.33099747,28.60219383
55,10,0,1,1,0,3,0,1,14.77726555,21.5519352,19.6935482
45,14,0,1,0,0,3,0,3,26.59907722,25.86232185,28.64516258
45,14,0,1,0,0,3,0,3,36.94316483,39.18533707,42.53806686
54,7,0,1,1,0,3,0,1,18.84101295,15.67413521,16.11290359
48,17,0,1,0,0,3,0,4,0,0,0
47,12,0,1,0,0,3,0,2,42.26298141,35.26679993,40.10322571
48,8,0,1,1,0,3,0,1,3.073671341,11.75560093,8.844193459
48,8,0,1,1,0,3,0,1,3.073671341,11.75560093,8.844193459
48,16,0,1,0,0,3,0,4,62.06451416,68.57433319,59.0806427
48,16,0,1,0,0,3,0,4,31.91889381,33.30753326,26.05814362
48,16,0,1,0,0,3,0,4,25.12135124,24.66324997,18.08225822
48,16,0,1,0,0,3,0,4,0,29.38900185,23.27419281
48,16,0,1,0,0,3,0,4,31.91889381,33.30753326,26.05814362
48,16,0,1,0,0,3,0,4,48.7649765,48.98167038,50.12903214
51,7,0,1,1,0,3,0,1,11.08294964,4.702240467,8.951613426
55,8,0,1,1,0,3,0,1,4.255852699,6.66150713,3.820548296
55,8,0,1,1,0,3,0,1,51.58004761,43.02550125,37.97274399
45,12,0,1,0,0,3,0,2,25.56467056,31.34827042,27.39193535
45,12,0,1,0,0,3,0,2,25.12135124,27.42973518,26.85483742
45,12,0,1,0,0,3,0,2,25.56467056,31.34827042,27.39193535
45,12,0,1,0,0,3,0,2,27.92903328,24.68676186,15.21774197
45,12,0,1,0,0,3,0,2,0,23.51120186,21.48387146
48,15,0,1,0,0,3,0,3,85.70813751,73.47251129,71.61290741
46,17,0,1,0,0,3,0,4,36.94316483,45.06313705,57.29032516
43,12,0,1,0,0,3,0,2,19.2104454,21.5519352,20.58870888
48,14,0,1,0,0,3,0,3,32.50998306,30.89567757,34.73225784
44,17,0,1,0,0,3,0,4,21.42703438,25.47046852,30.43548393
44,17,0,1,0,0,3,0,4,51.72042847,39.18533707,44.75806808
42,16,0,1,0,0,3,0,4,0,0,0
48,12,0,1,0,0,3,0,2,34.75317001,30.8604126,29.2699852
48,12,0,1,0,0,3,0,2,32.50998306,36.24643707,31.33064461
48,12,0,1,0,0,3,0,2,0,0,0
53,12,1,1,0,0,3,0,2,35.46543884,35.26679993,42.96774292
46,14,0,1,0,0,3,0,3,29.5545311,26.45010185,26.49677277
52,7,0,1,1,0,3,0,1,0,0,0
53,10,0,1,1,0,3,0,1,4.433179855,19.98452187,21.48387146
50,11,0,1,1,0,3,0,1,31.03225708,36.20529175,38.56354523
