age,educ,black,married,nodegree,re74,re75,re78,hisp,sample,treat,educ_cat4
31,9,0,0,1,0,0,26817.59961,1,1,1,1
26,10,1,0,1,0,0,9265.788086,0,1,1,1
26,10,1,0,1,25929.67969,6788.958008,672.8773193,0,1,1,1
24,11,1,0,1,0,0,1991.400024,0,1,1,1
24,11,1,0,1,0,0,995.7001953,0,1,1,1
18,11,1,0,1,858.2542725,214.5635986,929.8839111,0,1,1,1
17,10,1,0,1,0,0,16218.04004,0,1,1,1
22,11,1,0,1,0,0,6456.696777,0,1,1,1
20,11,1,0,1,16318.62012,1484.994019,6943.341797,0,1,1,1
18,10,1,0,1,0,0,11163.16992,0,1,1,1
17,9,1,0,1,0,0,1953.267944,0,1,1,1
19,10,1,0,1,0,385.2741089,8124.714844,0,1,1,1
19,10,1,0,1,0,0,3228.50293,0,1,1,1
20,10,1,0,1,5005.730957,2777.35498,5615.188965,0,1,1,1
23,8,0,0,1,0,0,3881.283936,1,1,1,1
18,9,1,0,1,0,3287.375,5010.341797,0,1,1,1
17,8,1,0,1,0,0,8061.484863,0,1,1,1
22,9,1,0,1,0,0,4056.493896,0,1,1,1
19,9,1,0,1,0,798.9078979,17685.17969,0,1,1,1
19,9,1,0,1,0,0,8173.908203,0,1,1,1
18,9,1,0,1,0,0,4482.845215,0,1,1,1
21,9,1,0,1,6416.470215,5749.331055,743.666626,0,1,1,1
17,7,1,0,1,0,0,3023.878906,0,1,1,1
19,8,1,0,1,0,2657.056885,9970.680664,0,1,1,1
25,5,1,0,1,0,0,12187.41016,0,1,1,1
25,5,1,0,1,0,0,6181.879883,0,1,1,1
27,10,0,0,1,0,0,11142.87012,1,1,1,1
20,9,0,0,1,12260.78027,5875.048828,1358.642944,1,1,1,1
17,9,0,0,1,445.1704102,74.34345245,6210.669922,1,1,1,1
22,9,0,0,1,0,0,3595.894043,1,1,1,1
55,16,0,1,0,48981.67188,46548.38672,47878.33984,0,3,0,4
55,16,0,1,0,48981.67188,46548.38672,47878.33984,0,3,0,4
49,17,0,1,0,30956.41602,31867.74219,35465.4375,0,3,0,4
53,16,0,1,0,68574.33594,39387.09766,67236.5625,0,3,0,4
50,17,0,1,0,42907.94141,44758.06641,39898.61719,0,3,0,4
54,16,0,1,0,24686.76172,26854.83789,26451.30664,0,3,0,4
54,16,0,1,0,24686.76172,26854.83789,26451.30664,0,3,0,4
54,16,0,1,0,24686.76172,26854.83789,26451.30664,0,3,0,4
55,16,0,1,0,17633.40039,17903.22656,22165.89844,0,3,0,4
55,12,0,1,0,26450.10156,23990.32227,29554.53125,0,3,0,2
55,12,0,1,0,35266.80078,32225.80664,25860.21484,0,3,0,2
55,12,0,1,0,0,6266.128906,10344.08594,0,3,0,2
53,13,0,1,0,1567.413452,3938.709717,4728.725098,0,3,0,3
53,13,0,1,0,1567.413452,3938.709717,4728.725098,0,3,0,3
53,12,0,1,0,41144.60156,42967.74219,39898.61719,0,3,0,2
48,16,0,1,0,1240.215942,1466.27417,1152.626709,0,3,0,4
48,16,0,1,0,1240.215942,1466.27417,1152.626709,0,3,0,4
55,17,0,1,0,88167.00781,98467.74219,88663.59375,0,3,0,4
55,16,0,1,0,48981.67188,71612.90625,35110.78516,0,3,0,4
55,14,0,1,0,17633.40039,19693.54883,2068.817139,0,3,0,3
55,12,0,1,0,23511.20117,26854.83789,26599.07813,0,3,0,2
55,12,0,1,0,29100.99023,26409.04883,29369.81641,0,3,0,2
55,12,0,1,0,23511.20117,20588.70898,22165.89844,0,3,0,2
55,12,0,1,0,16653.76758,17545.16211,16254.99219,0,3,0,2
55,12,0,1,0,23511.20117,22916.12891,17732.71875,0,3,0,2
55,12,0,1,0,28213.44141,33206.90234,31771.12109,0,3,0,2
55,12,0,1,0,23511.20117,26854.83789,26599.07813,0,3,0,2
55,12,0,1,0,29100.99023,26409.04883,29369.81641,0,3,0,2
46,12,0,1,0,25862.32227,23274.19336,35465.4375,0,3,0,2
53,17,0,1,0,31348.26953,28645.16211,27929.0332,0,3,0,4
53,16,0,1,0,1665.376831,0,2955.453125,0,3,0,4
53,16,0,1,0,31348.26953,32225.80664,32509.98438,0,3,0,4
52,12,0,1,0,33895.31641,47622.58203,39011.98047,0,3,0,2
54,15,0,1,0,39185.33594,37471.45313,39304.57031,0,3,0,3
54,15,0,1,0,48981.67188,35806.45313,88663.59375,0,3,0,3
54,15,0,1,0,23511.20117,21483.87109,59109.0625,0,3,0,3
54,15,0,1,0,48981.67188,35806.45313,88663.59375,0,3,0,3
54,12,0,1,0,23511.20117,26854.83789,2049.606689,0,3,0,2
54,12,0,1,0,12735.23438,17894.27344,19343.44141,0,3,0,2
54,12,0,1,0,28889.38867,35806.45313,31032.25781,0,3,0,2
54,12,0,1,0,18025.25391,18798.38672,23643.625,0,3,0,2
52,17,0,1,0,63676.17188,60870.96875,59109.0625,0,3,0,4
52,17,0,1,0,46042.76953,59080.64453,70930.875,0,3,0,4
52,17,0,1,0,46042.76953,59080.64453,70930.875,0,3,0,4
52,16,0,1,0,33307.53516,30793.54883,28815.66797,0,3,0,4
49,14,0,1,0,32327.90234,14322.58105,24530.26172,0,3,0,3
53,17,0,1,0,15478.20801,16399.35547,15663.90137,0,3,0,4
53,16,0,1,0,20343.06641,20112.48438,19930.09766,0,3,0,4
53,16,0,1,0,34287.16797,28645.16211,22165.89844,0,3,0,4
53,16,0,1,0,39185.33594,35806.45313,51720.42969,0,3,0,4
52,12,0,1,0,37226.07031,35831.51563,48764.97656,0,3,0,2
49,12,0,1,0,0,0,13299.53906,0,3,0,2
53,15,0,1,0,0,24169.35547,28076.80469,0,3,0,3
53,15,0,1,0,33307.53516,37596.77344,38420.89063,0,3,0,3
50,16,0,1,0,97963.34375,34016.12891,33987.71094,0,3,0,4
53,13,0,1,0,35658.65625,35806.45313,35465.4375,0,3,0,3
50,14,0,1,0,32602.19922,27889.64453,27314.29883,0,3,0,3
47,12,0,1,0,5868.003906,9513.774414,5319.81543,0,3,0,2
53,12,0,1,0,47649.36719,47894.71094,50242.70313,0,3,0,2
53,12,0,1,0,29389.00195,28645.16211,29554.53125,0,3,0,2
